Date,Open,High,Low,Close,Adj Close,Volume
03/01/2000,4.04,4.16,3.79,3.79,1.739311,6390000
04/01/2000,3.83,3.9,3.6,3.68,1.68883,10424000
05/01/2000,3.48,3.67,3.38,3.65,1.675063,11445000
06/01/2000,3.62,3.77,3.59,3.77,1.730133,5027000
07/01/2000,3.85,3.98,3.75,3.86,1.771436,7574000
10/01/2000,3.97,3.97,3.65,3.75,1.720954,7906000
11/01/2000,3.8,3.83,3.61,3.81,1.74849,6732000
12/01/2000,3.7,3.91,3.65,3.83,1.757668,5921000
13/01/2000,3.85,3.94,3.8,3.81,1.74849,5894000
14/01/2000,3.83,3.95,3.83,3.95,1.812739,3843000
17/01/2000,3.95,3.98,3.85,3.85,1.766846,4099000
18/01/2000,3.82,3.94,3.7,3.78,1.734722,5335000
19/01/2000,3.7,3.86,3.7,3.8,1.7439,9254000
20/01/2000,3.81,3.95,3.78,3.86,1.771436,12226000
21/01/2000,3.85,3.9,3.72,3.78,1.734722,6369000
24/01/2000,3.78,3.84,3.73,3.78,1.734722,4554000
25/01/2000,3.7,3.82,3.68,3.72,1.707187,4315000
26/01/2000,3.75,3.97,3.72,3.97,1.821917,11076000
27/01/2000,4.14,4.33,4.08,4.33,1.987129,20819000
28/01/2000,4.5,4.67,4.27,4.37,2.005485,24618000
31/01/2000,4.26,4.42,4.2,4.37,2.005485,9763000
01/02/2000,4.48,4.49,4.35,4.39,2.014664,6397000
02/02/2000,4.37,4.43,4.34,4.43,2.033021,6846000
03/02/2000,4.39,4.78,4.38,4.58,2.101859,16040000
04/02/2000,4.67,4.82,4.58,4.71,2.161518,11545000
07/02/2000,4.79,4.99,4.75,4.83,2.216589,11876000
08/02/2000,4.98,5.31,4.94,5.28,2.423104,15291000
09/02/2000,5.44,5.52,4.9,5.17,2.372622,20055000
10/02/2000,5,5.3,4.95,5.29,2.427693,11755000
11/02/2000,5.5,6.2,5.45,5.73,2.629618,19222000
14/02/2000,6.14,6.7,6.08,6.29,2.886615,21616000
15/02/2000,6.35,6.53,5.56,5.56,2.551602,18023000
16/02/2000,6.2,6.25,5.51,5.75,2.638797,18064000
17/02/2000,5.77,6.1,5.77,5.84,2.6801,12654000
18/02/2000,5.98,6.07,5.59,5.95,2.730581,12966000
21/02/2000,5.63,5.97,5.63,5.8,2.661743,7630000
22/02/2000,5.84,6,5.75,5.78,2.652564,7318000
23/02/2000,5.94,5.96,5.8,5.83,2.67551,6492000
24/02/2000,5.98,5.98,5.7,5.82,2.670921,7296000
25/02/2000,5.9,5.94,5.85,5.92,2.716813,5961000
28/02/2000,5.87,6.3,5.82,6.29,2.886615,11300000
29/02/2000,6.45,6.57,6.25,6.44,2.955452,12315000
01/03/2000,6.4,6.54,6.27,6.3,2.891203,7160000
02/03/2000,6.35,6.5,6.25,6.48,2.973809,4807000
03/03/2000,6.47,6.5,6.3,6.35,2.914149,5482000
06/03/2000,6.48,6.49,6.05,6.16,2.826954,6496000
07/03/2000,6.07,6.2,5.88,5.9,2.707635,9201000
08/03/2000,5.9,6.08,5.75,5.84,2.6801,9760000
09/03/2000,5.96,5.98,5.77,5.95,2.730581,11025000
10/03/2000,6.15,7.1,6.11,7.08,3.249162,37339000
13/03/2000,7.5,8.4,7.35,8.25,3.7861,73644000
14/03/2000,8.19,8.19,7.65,7.8,3.579585,28970000
15/03/2000,7.57,7.57,7,7.08,3.249162,30442000
16/03/2000,7.35,7.73,7.01,7.32,3.359303,23110000
17/03/2000,7.56,7.58,6.85,6.9,3.166556,26654000
20/03/2000,7,7.17,6.66,6.8,3.120664,13933500
21/03/2000,6.77,6.77,6.17,6.33,2.904971,20535000
22/03/2000,6.6,6.65,5.94,5.95,2.730581,20046500
23/03/2000,6.2,6.2,5.52,6,2.753527,22547000
24/03/2000,6.08,6.52,6.05,6.18,2.836133,25537000
27/03/2000,6.26,6.26,5.76,5.76,2.643386,15292500
28/03/2000,5.65,5.83,5.4,5.62,2.579137,27138500
29/03/2000,5.7,6.04,5.57,5.63,2.583726,32028000
30/03/2000,5.6,5.65,5.1,5.25,2.409336,36756000
31/03/2000,5.11,5.67,4.9,5.37,2.464406,32209000
03/04/2000,5.5,5.53,5.01,5.06,2.322141,16972000
04/04/2000,4.95,5.23,4.75,4.95,2.27166,17634000
05/04/2000,5,5,4.73,4.79,2.198232,14200000
06/04/2000,4.88,5.13,4.8,5.11,2.345087,11779000
07/04/2000,5.25,5.35,5,5.23,2.400157,10353000
10/04/2000,5.34,5.35,5.04,5.07,2.32673,6712000
11/04/2000,4.89,4.95,4.81,4.82,2.212,10015500
12/04/2000,4.9,5.03,4.88,4.89,2.244124,4745000
13/04/2000,4.79,5.05,4.72,5.02,2.303784,6891000
14/04/2000,5.03,5.08,4.8,4.8,2.202822,4786500
17/04/2000,4.5,4.78,4.35,4.61,2.115627,9084500
18/04/2000,4.75,4.79,4.68,4.71,2.161518,5584500
19/04/2000,4.84,4.84,4.7,4.72,2.166108,4384000
20/04/2000,4.8,4.9,4.73,4.75,2.179876,6033500
21/04/2000,4.75,4.75,4.75,4.75,2.179876,0
24/04/2000,4.75,4.75,4.75,4.75,2.179876,0
25/04/2000,4.75,4.83,4.63,4.83,2.216589,1377000
26/04/2000,4.84,4.85,4.7,4.71,2.161518,1928500
27/04/2000,4.7,4.75,4.51,4.63,2.124805,6214500
28/04/2000,4.64,4.76,4.58,4.76,2.184465,4420000
